frame_index,storm_age_hours,time,center_lat,center_lon,min_mslp_hpa,tb_v1,tb_v2,moran_i,geary_c,gradient_energy,spatial_entropy,experimental_spectral_slope
81,81,2020-05-20 09:00:00,21.5,88.0,965.385009765625,0.00027718808269128203,2.3017971515655518,0.9954819083213806,0.0022957457695156336,1.999799081886522e-08,3.2920396612033866,-4.67301090293087
82,82,2020-05-20 10:00:00,21.5,88.0,965.1599731445312,0.0002471553743816912,2.458855152130127,0.9951488971710205,0.0021568522788584232,2.2746927896832858e-08,3.1966238165614254,-4.594300240712371
83,83,2020-05-20 11:00:00,21.75,88.25,968.3318481445312,0.0002174379478674382,2.4022769927978516,0.9965243339538574,0.00203668768517673,2.1774688718778634e-08,3.284326448297415,-4.954865485639984
84,84,2020-05-20 12:00:00,22.0,88.25,970.4506225585938,0.00021557847503572702,2.3491878509521484,0.9964766502380371,0.0020667302887886763,2.0432823433225167e-08,3.3118818435893034,-5.009038075151254
85,85,2020-05-20 13:00:00,22.25,88.25,972.6981201171875,0.00019079205230809748,2.3599090576171875,0.9965246319770813,0.0018466399051249027,1.948283667729811e-08,3.3250083605429475,-5.068757826798356
86,86,2020-05-20 14:00:00,22.5,88.25,975.260009765625,0.00019599971710704267,2.2900516986846924,0.9965600371360779,0.001810080953873694,1.8059814976822963e-08,3.287635421919578,-5.211398064932154
87,87,2020-05-20 15:00:00,22.5,88.25,977.1493530273438,0.00018291533342562616,2.254382371902466,0.9961559772491455,0.001660347101278603,1.6546572112474678e-08,3.2992690852356743,-5.4415794261423205
88,88,2020-05-20 16:00:00,22.75,88.25,979.2293701171875,0.00018231122521683574,2.126959800720215,0.9962376356124878,0.0016265584854409099,1.46801975020594e-08,3.3087364160235766,-5.54475784666837
89,89,2020-05-20 17:00:00,23.0,88.5,980.311279296875,0.00017685559578239918,2.084937572479248,0.99667888879776,0.001530107925646007,1.333973198569538e-08,3.211360026491918,-5.631936306014514
90,90,2020-05-20 18:00:00,23.25,88.5,981.6275024414062,0.00018830326735042036,1.996466040611267,0.996349036693573,0.0015320718521252275,1.1638526586921216e-08,3.243721010708162,-5.715650617212025
91,91,2020-05-20 19:00:00,23.25,88.5,982.34814453125,0.00018174613069277257,1.9878065586090088,0.9964014887809753,0.0013589825248345733,1.0551471696373937e-08,3.19456730802835,-5.7569421920818264
92,92,2020-05-20 20:00:00,23.5,88.5,983.161865234375,0.0001845933438744396,1.9002846479415894,0.9963003993034363,0.001315639354288578,9.200442185886004e-09,3.229318606218006,-5.749426694733504
93,93,2020-05-20 21:00:00,23.75,88.5,983.6456298828125,0.00019462028285488486,1.8953443765640259,0.9958531856536865,0.0012351988116279244,8.478534319067421e-09,3.2272355683539287,-5.65115143849487
94,94,2020-05-20 22:00:00,23.75,88.5,983.9199829101562,0.0001796177530195564,1.9013557434082031,0.9963359832763672,0.0011087002931162715,8.28660962071126e-09,3.1731943351890024,-5.501656049711929
95,95,2020-05-20 23:00:00,24.0,88.5,985.2662353515625,0.00019586940470617265,1.8522529602050781,0.995764434337616,0.0011532569769769907,7.715667216245947e-09,3.2487391784857724,-5.567072839085576
