tau_h,gradient_energy_n,gradient_energy_mean_z,gradient_energy_std_z,tb_v2_intensity_n,tb_v2_intensity_mean_z,tb_v2_intensity_std_z,tb_v2_cosine_n,tb_v2_cosine_mean_z,tb_v2_cosine_std_z,tb_v1_n,tb_v1_mean_z,tb_v1_std_z,morans_i_n,morans_i_mean_z,morans_i_std_z,spatial_entropy_n,spatial_entropy_mean_z,spatial_entropy_std_z
17,5,-0.35833668429234466,1.0182822208278302,5,0.020513073144167126,0.9169605326041294,5,-0.3614933705893346,0.5064025285656526,5,-0.14324434617114443,0.9225418444167849,5,0.7539581976131925,1.1374697249422618,5,0.5123889549486704,0.9140209329626732
18,5,-0.34912563776922545,1.0762993926749873,5,0.07516898705333133,0.9674149820019263,5,-0.7607713283717805,0.24216982451629776,5,0.09131999484577966,1.0061294585483795,5,0.8484992522955892,1.1879940812277459,5,0.48383298742906905,0.9295629698952272
19,5,-0.3051606687794711,1.138619428180075,5,0.08863954157380331,1.012303075062166,5,-0.8068073304423493,0.6067317874676972,5,0.14169146423083184,1.0747750263392823,5,0.863699755961281,1.1948538179925141,5,0.5238102016590009,0.8966718979236011
20,5,-0.2567641274215884,1.1323556435039075,5,0.11645815735745546,0.9998433033320558,5,-0.25227729999797477,0.7425781870896618,5,0.27264657220140215,1.1371687655375282,5,0.9061281391526818,1.0956011138092978,5,0.5849375095961492,0.8709131804587225
21,5,-0.20512517219552762,1.0929475059856237,5,0.15886315052528396,0.9788373499681768,5,-0.620575756887398,0.17258511310153835,5,0.07625690791442352,1.1012889424159646,5,0.5200976865625624,0.6818574722905724,5,0.6401806066784183,0.8369800661594401
22,5,-0.14431543156625298,1.0830175871943508,5,0.18145790892429087,0.9655967438699055,5,-0.6122768898978135,0.38691311870926515,5,0.025459838794787658,1.1361032203818022,5,0.26213416514672516,0.7140471660370507,5,0.4655783131090766,0.4682927965447095
23,5,0.2634871699538329,0.8574157315863025,5,0.5471502656856535,0.6351499085214617,5,-0.7159142594599219,0.41800204483201814,5,0.4491331681740216,0.6617079451113265,5,0.290383718852168,0.6319861983293582,5,0.3720789824726075,0.43906480377006407
24,5,-0.09169499180940037,1.1318496633359507,5,0.09866528667777348,1.137992464027982,5,-0.4055203575954073,0.4604848825728411,5,0.12431322612828084,1.2031823385728602,5,0.3167005673799513,0.6267642297261432,5,0.5219508251992082,0.47095661732210176
25,5,0.29718301438672945,0.91267491809077,5,0.5594151215074635,0.764945973466376,5,-0.7635701974794538,0.4645995901879227,5,0.5499977531188271,0.6766100954787987,5,0.3203498239967301,0.6353024260344508,5,0.4431262843728744,0.4647809216886992
26,5,0.402783308268263,0.9002241571459224,5,0.8706163154192801,0.49376101712560977,5,-1.1096889965711545,0.6297325635626798,5,0.6169396491178276,0.7454675074352455,5,0.28971181582467537,0.6699904253470569,5,0.39905815284263946,0.41292442999635276
27,5,0.4805648202960384,0.8647164883097019,5,0.9125369342778189,0.5587283630660246,5,-1.389273667860936,0.516581985374935,5,0.5987519305748675,0.8406912711323379,5,0.3642938222886285,0.612552217382228,5,0.4402867012399165,0.42283180303426593
28,5,0.44038102933631357,0.889586567417526,5,0.8610974670901121,0.6837295039754224,5,-0.8185450939478288,0.7626576517176732,5,0.6244171398658743,0.9547062170205998,5,0.34617098731882784,0.6113647201467785,5,0.5251553229950299,0.47406529126622626
29,5,0.5384848155358691,0.9185502979746021,5,0.9666095245352715,0.6000930953202231,5,-1.1844265265687868,0.4032378335206347,5,0.5960193744031568,1.0163507573058925,5,-0.007468759916892764,1.2468026530453786,5,0.5534206267058746,0.4937802747841084
30,5,0.6532907476884147,0.9646764757301455,5,1.0448668982398936,0.7721482419757824,5,-1.1729977119081814,0.6240363811647548,5,0.7336221759537654,1.0351621699322815,5,-0.200160162310239,1.5522350502758637,5,0.6283491658162177,0.5370203014720577
31,5,0.21921689693311439,1.2280423995750274,5,0.5363954620565187,1.271882693290861,5,-1.316281826306502,0.725993812698312,5,0.40259402387887633,1.3590390298447093,5,-0.05188436332723623,1.1815971973080783,5,0.6814361274402925,0.5993090654432923
32,5,-0.5821897750096781,1.2422850432099444,5,-0.11140193517173022,1.464205849864614,5,-1.8467816240515191,1.2637919850690302,5,-0.2032326699541036,1.3286725044705323,5,-0.18345205911336268,1.8682900964016413,5,2.044977246557472,0.9757085711653068
33,5,-0.43136541776460735,1.4195215138751347,5,-0.002443524515349438,1.6266164608636706,5,-1.8838697171709278,1.2751082946345964,5,-0.012961409414744818,1.4575425881586563,5,-0.2122483370384046,1.8635797157378842,5,2.1766123913094875,0.944271301895826
34,5,-0.47812176926237654,1.5154573956313857,5,-0.14697179423471646,1.8321946138503937,5,-2.1983276508704415,0.7219150912339096,5,0.0027573046866396387,1.521508053085264,5,-0.22042653511196947,1.8428466604250104,5,2.2598857524477958,0.8798956665233801
35,5,-0.21698846903594315,2.0776359915634903,5,-0.07507544882786314,2.253711306585648,5,-1.68370091090883,0.7766038941358758,5,0.014313075903127803,1.9330427954391693,5,0.03712936225550294,1.6290863434450342,5,2.3477606232689627,0.8028409211675838
36,5,-0.20207389706733622,2.099511943268679,5,-0.16451526956734538,2.4110399722537688,5,-1.7314126894702944,0.5156982320946556,5,0.04855557190834432,1.949316907327392,5,-0.1536760495058612,1.956626310766125,5,2.506245766393232,0.9024315788617548
